,Sl.No.,State/UT,Literacy %,Unemployment,Sex Ratio,Greed,Loath,Love,Year,Region,Urbanization,NSDP per capita,Population Density,Homeless prop,Alcohol %,Below poverty line,Total Murders
71,36,Puducherry,80.0,10.3,934.8404255,6.221719457013575,6.221719457013575,1.1312217194570136,2017.0,S,0.6941580756013745,92.73814432989691,3.037578288100209,1.092783505154639,37.682118734372686,1.2114449999999999,13.574660633484164
72,1,Andhra Pradesh,70.0,5.3,1001.267524,102.37556561085972,211.53846153846155,25.452488687782804,2018.0,S,0.3383874249083546,2.089188722338445,0.31971307250503167,1.1754025679903268,46.4042435160208,46.603567999999996,339.3665158371041
73,2,Assam,79.0,6.7,1038.881921,651.6129032258065,1303.225806451613,274.1935483870968,2018.0,NE,0.1502182382751853,1.7559539502592494,0.435209974757133,0.37844567478102936,48.4176992709231,99.861653,2229.032258064516
74,3,Bihar,68.5,10.2,1085.287921,1000.0,484.3358395989975,273.1829573934837,2018.0,E,0.1192560911953392,0.24492751182878986,1.2614084088229984,0.3837747731061308,40.755725808570496,351.23518,1757.5187969924812
75,4,Chattisgarh,75.0,2.4,1006.744415,45.49675023212628,123.4911792014856,38.53296193129062,2018.0,C,0.2570718386780563,2.6410166643327266,0.2112862542624879,0.8477104047052234,36.14781543194179,102.16577,207.5208913649025
76,5,Gujarat,79.0,3.3,1099.651871,145.5748552522746,444.1687344913151,214.22663358147227,2018.0,W,0.46525536639526277,2.292923760177646,0.34460066114353344,2.136284233900814,20.804082901179193,100.8377,803.970223325062
77,6,Haryana,77.0,9.2,1129.95068,271.484375,423.828125,107.421875,2018.0,N,0.3948707153632951,5.950391186892608,0.6446892246448928,1.8198435252429568,31.5955267865639,28.306572,802.734375
78,7,Jharkhand,71.5,5.3,1051.084018,664.5927601809955,207.01357466063348,43.55203619909502,2018.0,E,0.25408821947283483,1.5097633136094675,0.46641744235642424,0.6291285637439483,39.358036579659995,122.02269,915.158371040724
79,8,Karnataka,77.5,3.6,1029.177883,173.07692307692307,297.5113122171946,79.18552036199095,2018.0,S,0.4229426205760815,2.2723654717067445,0.34193992418830915,1.170079748707705,33.12392308767343,127.94187,549.7737556561086
80,9,Kerala,94.0,9.0,923.338638,16.24883936861653,100.74280408542248,7.892293407613742,2018.0,S,0.655796171074781,4.204028645610431,0.9018603813395775,0.33818368569716684,22.554292561973682,23.888278,124.88393686165276
81,10,Madhya Pradesh,73.5,3.5,1067.9398,186.1042183622829,618.693134822167,189.41273779983456,2018.0,C,0.28504329957434316,0.7217207299770048,0.2652305795714448,1.791122364107833,40.631930378244085,229.98595,994.2100909842845
82,11,Maharashtra,83.0,5.0,1081.692358,1425.8064516129032,3016.1290322580644,825.8064516129033,2018.0,W,0.47324473811813245,1.1570140618194071,0.3954236577590157,1.7333431955094225,33.820708104842836,195.43505,5267.741935483871
83,12,Odisha,78.0,7.0,1015.726803,965.8203125,76.171875,41.015625,2018.0,E,0.18031654034774855,1.681252786446723,0.28810522327191457,0.7592732946946055,43.288296923737434,136.91922,1083.0078125
84,13,Punjab,77.0,7.4,1109.968803,86.9140625,272.4609375,108.3984375,2018.0,N,0.4022648610504385,3.884270304781747,0.5909018704578849,1.5697436069760409,46.31466111075008,22.894461,467.7734375
85,14,Rajasthan,70.5,5.7,1063.313911,641.9354838709678,664.516129032258,274.1935483870968,2018.0,N,0.25983811358076103,0.9626646192285669,0.22453314788787954,2.3625006506688875,26.222742178322857,100.88246000000001,1580.6451612903227
86,15,Tamil Nadu,80.5,6.6,999.6294434,147.62443438914028,508.4841628959276,90.49773755656108,2018.0,S,0.5172605495843702,1.87753481230476,0.5808793000046133,0.6741277068883359,32.19677556016127,81.77045000000001,746.606334841629
87,16,Telangana,80.0,8.4,1012.478299,567.741935483871,941.9354838709678,290.3225806451613,2018.0,S,0.4437375316762819,3.9568932981075107,0.33096888746129893,2.2636814579177225,37.05270394297057,31.564134,1800.0
88,17,Uttar Pradesh,70.5,5.7,1090.244951,825.4410399257197,448.46796657381617,248.3751160631384,2018.0,C,0.23390571367276888,0.18920283895881007,0.9286757869570992,1.4709891661899313,33.26650904523582,588.1186,1522.2841225626744
89,18,West Bengal,78.5,3.9,1045.436269,281.10859728506784,173.64253393665155,39.02714932126697,2018.0,E,0.34958045792681036,0.7055652695725948,1.0890233459527672,1.3868167568518308,36.55781403497739,182.68674,493.77828054298635
90,19,Arunachal Pradesh,71.5,7.9,1060.606061,0.0,19.35483870967742,19.35483870967742,2018.0,NE,0.24665775401069517,66.55748663101605,0.017864179692631026,1.0922459893048129,50.29558823621261,4.796543,38.70967741935484
91,20,Delhi,84.0,10.4,1143.979058,50.78125,198.2421875,44.921875,2018.0,N,0.9902828652828652,13.10526048026048,13.254214430209036,2.394993894993895,38.12282430291125,16.648402,293.9453125
92,21,Goa,88.5,8.7,1021.052632,4.962779156327543,14.888337468982629,0.8271298593879238,2018.0,W,0.7096354166666666,201.01106770833334,0.41491085899513774,1.986328125,43.9119791698725,0.746616,20.678246484698096
93,22,Himachal Pradesh,86.5,5.2,1028.985507,14.6484375,24.4140625,11.71875,2018.0,N,0.10206043956043956,18.72142857142857,0.1307635658218526,0.5629120879120879,22.78642856944764,5.535432999999999,50.78125
94,23,Jammu & Kashmir,70.0,5.1,1106.611173,6.892230576441103,60.77694235588972,8.771929824561402,2018.0,N,0.29407294832826747,5.257066869300912,0.08069164265129683,1.4473404255319149,44.293016717186084,12.982634000000001,76.44110275689223
95,24,Manipur,80.5,9.6,1010.416667,29.032258064516128,77.41935483870968,25.806451612903228,2018.0,NE,0.3128238341968912,15.578367875647668,0.13830787835356295,1.0401554404145077,30.748704664762908,10.562470999999999,132.25806451612902
96,25,Meghalaya,80.5,2.7,1006.8793,35.483870967741936,70.96774193548387,158.06451612903226,2018.0,NE,0.20442505453412277,18.738547834216266,0.14307369922867716,0.38672483639763167,33.77965098349462,3.5228,264.51612903225805
